COG_FUNCTION	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	function_accession	gene_clusters_ids	p_Host	p_Environment	N_Host	N_Environment
3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) synthase	10.379501584208192	0.0012742208797631872	0.022391436998231734	Environment	COG0722	GC_00001511	0.26	0.6667	50	21
Enterochelin esterase or related enzyme	10.379501584208192	0.0012742208797631872	0.022391436998231734	Environment	COG2382	GC_00003625, GC_00008542, GC_00009147, GC_00012188, GC_00014555, GC_00015356, GC_00019075, GC_00019815, GC_00020987, GC_00024346, GC_00026661, GC_00027729, GC_00028506, GC_00028925, GC_00029705, GC_00031866, GC_00033879, GC_00035738, GC_00036537, GC_00038604, GC_00039081	0.26	0.6667	50	21
Nicotinate-nucleotide pyrophosphorylase	10.282939128258402	0.0013426590032685976	0.023394126362035902	Environment	COG0157	GC_00001823, GC_00002246, GC_00004432, GC_00004460, GC_00022317, GC_00025478, GC_00029849	0.5	0.9048	50	21
Uncharacterized conserved protein YchJ, contains N- and C-terminal SEC-C domains	10.127547187831226	0.001460696575038663	0.024470425932509695	Environment	COG3012	GC_00001372, GC_00005771, GC_00005935, GC_00007027, GC_00007203, GC_00011425, GC_00011754, GC_00015536, GC_00023840, GC_00025623, GC_00025866, GC_00034751, GC_00039994	0.64	1	50	21
Arsenite efflux pump ArsB, ACR3 family	10.127547187831226	0.001460696575038663	0.024470425932509695	Environment	COG0798	GC_00000873, GC_00002669, GC_00003080, GC_00013751, GC_00014505, GC_00016700, GC_00025460, GC_00028174, GC_00036113, GC_00040218, GC_00040737	0.64	1	50	21
Alkylhydroperoxidase family enzyme, contains CxxC motif	10.127547187831226	0.001460696575038663	0.024470425932509695	Environment	COG2128	GC_00001626, GC_00001793, GC_00004498, GC_00004871, GC_00005654, GC_00006432, GC_00009232, GC_00010038, GC_00010125, GC_00010288, GC_00010342, GC_00011308, GC_00012039, GC_00014240, GC_00016142, GC_00017971, GC_00021951, GC_00025621, GC_00025930, GC_00026033, GC_00028107, GC_00028819, GC_00029789, GC_00033084, GC_00036530	0.64	1	50	21
D-arabinose 1-dehydrogenase, Zn-dependent alcohol dehydrogenase family	10.127547187831226	0.001460696575038663	0.024470425932509695	Environment	COG1064	GC_00001242, GC_00001649, GC_00001978, GC_00003378, GC_00003542, GC_00013713, GC_00014566, GC_00017827, GC_00034801	0.64	1	50	21
Uncharacterized conserved protein, DUF952 family	10.093732244255369	0.0014877447672975253	0.024470425932509695	Environment	COG3502	GC_00005597	0	0.1905	50	21
L-asparaginase II	10.093732244255369	0.0014877447672975253	0.024470425932509695	Environment	COG4448	GC_00005248	0	0.1905	50	21
Uncharacterized conserved protein YyaL, SSP411 family, contains thoiredoxin and six-hairpin glycosidase-like domains	10.093732244255369	0.0014877447672975253	0.024470425932509695	Environment	COG1331	GC_00006206	0	0.1905	50	21
ABC-type sulfate transport system, periplasmic component	9.986636424974282	0.0015768036369293863	0.025729430774022368	Environment	COG1613	GC_00004030, GC_00004225, GC_00009231, GC_00010983, GC_00022817, GC_00029809, GC_00035742	0.16	0.5238	50	21
CTP synthase (UTP-ammonia lyase)	9.937455967945814	0.0016194921447333823	0.026013092574780156	Environment	COG0504	GC_00001260	0.4	0.8095	50	21
Galactose mutarotase or related enzyme	9.937455967945802	0.001619492144733395	0.026013092574780156	Host	COG2017	GC_00003731, GC_00005226, GC_00006586, GC_00008330, GC_00008618, GC_00016381, GC_00017253, GC_00018894, GC_00022152, GC_00022156, GC_00026617, GC_00029771, GC_00031400, GC_00034184, GC_00036086, GC_00036771, GC_00039705, GC_00041310	0.6	0.1905	50	21
Cobyrinic acid a,c-diamide synthase	9.590788650308259	0.0019555593283395135	0.029747196822060895	Host	COG1797	GC_00001746, GC_00029375	0.42	0.0476	50	21
Precorrin isomerase	9.590788650308259	0.0019555593283395135	0.029747196822060895	Host	COG2082	GC_00001696	0.42	0.0476	50	21
ATP:corrinoid adenosyltransferase	9.590788650308259	0.0019555593283395135	0.029747196822060895	Host	COG2109	GC_00001668	0.42	0.0476	50	21
Precorrin-4 methylase	9.590788650308259	0.0019555593283395135	0.029747196822060895	Host	COG2875	GC_00001686	0.42	0.0476	50	21
Precorrin-3B methylase	9.590788650308259	0.0019555593283395135	0.029747196822060895	Host	COG1010	GC_00001632	0.42	0.0476	50	21
Precorrin-2 methylase	9.590788650308259	0.0019555593283395135	0.029747196822060895	Host	COG2243	GC_00001681	0.42	0.0476	50	21
7-keto-8-aminopelargonate synthetase or related enzyme	9.557379216063252	0.0019914722659313397	0.029747196822060895	Host	COG0156	GC_00005588, GC_00007187, GC_00007793, GC_00008757, GC_00008954, GC_00010017, GC_00010186, GC_00010920, GC_00012268, GC_00013736, GC_00013877, GC_00023135, GC_00028075, GC_00029422, GC_00032561, GC_00032858, GC_00034082, GC_00034094, GC_00039882	0.54	0.1429	50	21
Uncharacterized membrane protein YidH, DUF202 family	9.557379216063246	0.0019914722659313423	0.029747196822060895	Environment	COG2149	GC_00001274, GC_00003372, GC_00007838	0.46	0.8571	50	21
Molybdopterin-guanine dinucleotide biosynthesis protein	9.539886556726318	0.0020105416971554083	0.029747196822060895	Environment	COG1763	GC_00002309, GC_00026117	0.08	0.381	50	21
1,2-phenylacetyl-CoA epoxidase, catalytic subunit	9.539359751340754	0.0020111188512969185	0.029747196822060895	Environment	COG3396	GC_00001664, GC_00001697	0.2	0.5714	50	21
1,2-phenylacetyl-CoA epoxidase, PaaB subunit	9.539359751340754	0.0020111188512969185	0.029747196822060895	Environment	COG3460	GC_00001656	0.2	0.5714	50	21
Cyanate permease	9.434907842396196	0.0021289378727337616	0.0310432359314938	Environment	COG2807	GC_00001774, GC_00002570, GC_00003042, GC_00005684, GC_00007602, GC_00007938, GC_00008671, GC_00008957, GC_00010309, GC_00010432, GC_00012412, GC_00017025, GC_00034703, GC_00039528, GC_00041266	0.52	0.9048	50	21
Precorrin-6x reductase	9.434907842396191	0.0021289378727337676	0.0310432359314938	Host	COG2099	GC_00001692, GC_00023455, GC_00029030, GC_00032586, GC_00035183	0.48	0.0952	50	21
Transposase and inactivated derivatives	9.387777799165232	0.0021843682078769495	0.03162719039010569	Environment	COG2963	GC_00000010, GC_00001314, GC_00001430, GC_00001487, GC_00001514, GC_00001993, GC_00002075, GC_00002147, GC_00002352, GC_00002467, GC_00002476, GC_00002693, GC_00002701, GC_00002905, GC_00002914, GC_00003154, GC_00003605, GC_00004328, GC_00005380, GC_00006821, GC_00006827, GC_00006901, GC_00007269, GC_00008043, GC_00009530, GC_00011477, GC_00021043, GC_00025963	0.66	1	50	21
Pyruvate-formate lyase-activating enzyme	9.347175636677992	0.0022332937335510492	0.032109453959307394	Host	COG1180	GC_00001392, GC_00001784, GC_00010890, GC_00025615, GC_00038027, GC_00039445	0.68	0.2857	50	21
Uncharacterized membrane protein YdcZ, DUF606 family	9.311854014241323	0.0022767597484912804	0.03228288305446947	Environment	COG3238	GC_00002259, GC_00005141, GC_00005252, GC_00006069, GC_00008548, GC_00031656	0.24	0.619	50	21
DNA-binding ferritin-like protein (oxidative damage protectant)	9.311854014241323	0.0022767597484912804	0.03228288305446947	Environment	COG0783	GC_00001602, GC_00036467	0.24	0.619	50	21
Trk-type K+ transport system, membrane component	9.259037188675011	0.0023433618403766753	0.03277518329125492	Host	COG0168	GC_00002116, GC_00002623, GC_00003052, GC_00003464, GC_00010562, GC_00014406, GC_00014865, GC_00021606, GC_00021872	0.72	0.3333	50	21
Phenylacetate-coenzyme A ligase PaaK, adenylate-forming domain family	9.259037188674998	0.0023433618403766896	0.03277518329125492	Environment	COG1541	GC_00001677, GC_00009085, GC_00016787, GC_00018365, GC_00023499, GC_00032984, GC_00035696	0.28	0.6667	50	21
TctA family transporter	9.179048946244906	0.0024480119714695592	0.033779279284170564	Environment	COG3333	GC_00001866, GC_00009122, GC_00013765, GC_00014994, GC_00030016, GC_00038282	0.14	0.4762	50	21
Polysaccharide pyruvyl transferase family protein WcaK	9.179048946244906	0.0024480119714695592	0.033779279284170564	Environment	COG2327	GC_00007597, GC_00008724, GC_00014114, GC_00017133, GC_00017250, GC_00017504, GC_00021646, GC_00024635, GC_00025164, GC_00028259, GC_00035955, GC_00037261, GC_00037983, GC_00038409	0.14	0.4762	50	21
Protein-L-isoaspartate O-methyltransferase	9.12898514808321	0.002515912425558142	0.03382413198098412	Environment	COG2518	GC_00003092, GC_00011051, GC_00027601, GC_00030917	0.06	0.3333	50	21
Ketosteroid isomerase homolog	9.09262507833072	0.002566422465483231	0.03382413198098412	Environment	COG4319	GC_00007470, GC_00007471	0.02	0.2381	50	21
5-deoxy-D-glucuronate isomerase	9.09262507833072	0.002566422465483231	0.03382413198098412	Environment	COG3718	GC_00004289	0.02	0.2381	50	21
TPP-dependent trihydroxycyclohexane-1,2-dione (THcHDO) dehydratase, myo-inositol metabolism	9.09262507833072	0.002566422465483231	0.03382413198098412	Environment	COG3962	GC_00004106	0.02	0.2381	50	21
Uncharacterized conserved protein YqgC, DUF456 family	9.09262507833072	0.002566422465483231	0.03382413198098412	Environment	COG2839	GC_00004114	0.02	0.2381	50	21
Fructose-bisphosphate aldolase class Ia, DhnA family	9.09262507833072	0.002566422465483231	0.03382413198098412	Environment	COG1830	GC_00004243	0.02	0.2381	50	21
Gamma-glutamyl-gamma-aminobutyrate hydrolase PuuD (putrescine degradation), contains GATase1-like domain	9.09262507833072	0.002566422465483231	0.03382413198098412	Environment	COG2071	GC_00007386, GC_00010219, GC_00022921	0.02	0.2381	50	21
Uncharacterized conserved protein YeaO, DUF488 family	9.019120089670844	0.0026716997604618927	0.03495886739153424	Environment	COG3189	GC_00001496, GC_00005961, GC_00020405, GC_00023792, GC_00024922, GC_00030296, GC_00034367, GC_00035271, GC_00039769	0.42	0.8095	50	21
Predicted thioesterase	8.929799694977907	0.0028055511282116486	0.03495886739153424	Environment	COG5496	GC_00006452, GC_00008882, GC_00024980	0.04	0.2857	50	21
Xanthine and CO dehydrogenase maturation factor, XdhC/CoxF family	8.929799694977907	0.0028055511282116486	0.03495886739153424	Environment	COG1975	GC_00005686, GC_00005782	0.04	0.2857	50	21
Predicted kinase	8.929799694977907	0.0028055511282116486	0.03495886739153424	Environment	COG0645	GC_00008325, GC_00012585, GC_00013709, GC_00024993, GC_00025995	0.04	0.2857	50	21
4-hydroxyphenylpyruvate dioxygenase and related hemolysins	8.929799694977907	0.0028055511282116486	0.03495886739153424	Environment	COG3185	GC_00003643, GC_00008642	0.04	0.2857	50	21
Uncharacterized conserved protein, DUF2252 family	8.929799694977907	0.0028055511282116486	0.03495886739153424	Environment	COG4320	GC_00007633, GC_00015849, GC_00019047, GC_00020700, GC_00026977, GC_00034615, GC_00037278	0.04	0.2857	50	21
Transglutaminase-like enzyme, putative cysteine protease	8.929799694977907	0.0028055511282116486	0.03495886739153424	Environment	COG1305	GC_00005688, GC_00005697, GC_00028304, GC_00038471	0.04	0.2857	50	21
Hemerythrin superfamily protein	8.929799694977907	0.0028055511282116486	0.03495886739153424	Environment	COG5592	GC_00004263, GC_00010974, GC_00032646	0.04	0.2857	50	21
Cytosine/uracil/thiamine/allantoin permease	8.929799694977907	0.0028055511282116486	0.03495886739153424	Environment	COG1953	GC_00006381, GC_00007225, GC_00009750, GC_00025521	0.04	0.2857	50	21
Alkylated DNA repair dioxygenase AlkB	8.817326711293285	0.0029838348931188717	0.036956412893086744	Environment	COG3145	GC_00001228, GC_00004057, GC_00004530, GC_00024812, GC_00029206	0.6	0.9524	50	21
Redox-sensitive bicupin YhaK, pirin superfamily	8.703807115282524	0.003175461472315095	0.03909430411425051	Environment	COG1741	GC_00001283, GC_00003746, GC_00007065, GC_00012753, GC_00018857, GC_00026361, GC_00028518, GC_00031781	0.48	0.8571	50	21
Glycopeptide antibiotics resistance protein	8.674909115087093	0.0032262094411586156	0.03924903320131428	Environment	COG4767	GC_00002299, GC_00002956, GC_00002989, GC_00004142, GC_00005157, GC_00005748, GC_00005920, GC_00007233, GC_00007990, GC_00009986, GC_00012468, GC_00012783, GC_00013346, GC_00014666, GC_00016027, GC_00016577, GC_00018802, GC_00020651, GC_00021707, GC_00022368, GC_00022795, GC_00023613, GC_00026356, GC_00026726, GC_00029216, GC_00029819, GC_00034973, GC_00037422, GC_00039152	0.68	1	50	21
Predicted N-acetyltransferase YhbS	8.674909115087093	0.0032262094411586156	0.03924903320131428	Environment	COG3153	GC_00002294, GC_00003537, GC_00003683, GC_00004232, GC_00004485, GC_00005847, GC_00006444, GC_00006771, GC_00007663, GC_00007770, GC_00009930, GC_00009931, GC_00012068, GC_00012421, GC_00013239, GC_00014034, GC_00014362, GC_00015660, GC_00016862, GC_00017691, GC_00018668, GC_00019882, GC_00020740, GC_00021529, GC_00023589, GC_00024626, GC_00024966, GC_00026302, GC_00026445, GC_00032725, GC_00035199, GC_00035885	0.68	1	50	21
Uncharacterized membrane protein YhhN	8.638969243351026	0.0032904754567338193	0.03936044162746309	Environment	COG3714	GC_00004859, GC_00005271, GC_00006984, GC_00022649, GC_00027623, GC_00030987, GC_00032033, GC_00033490, GC_00037517, GC_00038328	0.18	0.5238	50	21
Gamma-glutamyltranspeptidase	8.638969243351026	0.0032904754567338193	0.03936044162746309	Environment	COG0405	GC_00002034, GC_00009865, GC_00013316, GC_00018948, GC_00029384, GC_00032051, GC_00039967	0.18	0.5238	50	21
CBS domain	8.629321895909106	0.0033079468664879365	0.03936044162746309	Environment	COG0517	GC_00001753, GC_00003177, GC_00011353, GC_00014271, GC_00022022, GC_00023041, GC_00023839, GC_00026862, GC_00036135	0.38	0.7619	50	21
NADPH-dependent 2,4-dienoyl-CoA reductase, sulfur reductase, or a related oxidoreductase	8.627122165865835	0.0033119437750734997	0.03936044162746309	Environment	COG0446	GC_00001724, GC_00002389, GC_00003334, GC_00003686, GC_00003721, GC_00003879, GC_00004176, GC_00005065, GC_00005340, GC_00006368, GC_00008381, GC_00010916, GC_00011313, GC_00013424, GC_00013633, GC_00014798, GC_00020031, GC_00022066, GC_00029427, GC_00031780, GC_00032183, GC_00033865, GC_00042026	0.54	0.9048	50	21
Glucuronate isomerase	8.451810867859137	0.003646801496224773	0.0426012720240803	Environment	COG1904	GC_00002032	0.12	0.4286	50	21
ABC-type molybdate transport system, permease component	8.451810867859137	0.003646801496224773	0.0426012720240803	Environment	COG4149	GC_00002200, GC_00014667, GC_00023356	0.12	0.4286	50	21
Cytidylate kinase	8.451810867859137	0.003646801496224773	0.0426012720240803	Environment	COG1102	GC_00002009, GC_00016184	0.12	0.4286	50	21
DNA-binding transcriptional regulator, Lrp family	8.368995098155107	0.003816766153623122	0.04433486560366745	Environment	COG1522	GC_00003550, GC_00004621, GC_00004971, GC_00005308, GC_00005793, GC_00007716, GC_00007925, GC_00009333, GC_00010905, GC_00011697, GC_00013626, GC_00019311, GC_00021991, GC_00023570, GC_00028139, GC_00028644, GC_00031806, GC_00039094, GC_00040254, GC_00041548	0.34	0.7143	50	21
Cytochrome P450	8.338501154875058	0.0038813605736199284	0.04483189516495827	Environment	COG2124	GC_00003122, GC_00003554, GC_00004095, GC_00004107, GC_00009007, GC_00012445, GC_00012788, GC_00013392, GC_00013627, GC_00021538, GC_00026431, GC_00028993, GC_00032216, GC_00032309, GC_00034143, GC_00040594	0.22	0.5714	50	21
V8-like Glu-specific endopeptidase	8.230362377247408	0.004119530346880305	0.04731706364908328	Host	COG3591	GC_00002307, GC_00002371, GC_00003379, GC_00003638, GC_00005715, GC_00008569, GC_00009855, GC_00011074, GC_00018522, GC_00018655, GC_00019742, GC_00023508, GC_00024408, GC_00024446, GC_00025080, GC_00026245, GC_00029231, GC_00031760, GC_00032264, GC_00032302, GC_00032501, GC_00037283, GC_00038822, GC_00038823, GC_00039500, GC_00040792	0.7	0.3333	50	21
Predicted alpha/beta hydrolase	8.212292680599317	0.004160754644467434	0.047525064161250255	Environment	COG4757	GC_00002026, GC_00003738, GC_00005458, GC_00005727, GC_00006261, GC_00013582, GC_00022054, GC_00031567, GC_00032704	0.26	0.619	50	21
Formate dehydrogenase assembly factor FdhD	8.075640418028634	0.004486424886675913	0.05096182081218606	Environment	COG1526	GC_00001156, GC_00011829, GC_00015729, GC_00018870, GC_00019144, GC_00031558, GC_00033971	0.62	0.9524	50	21
DNA-binding transcriptional regulator, PucR family	7.895797469744663	0.00495497868974639	0.05594573796406893	Environment	COG2508	GC_00003370, GC_00003961, GC_00004192, GC_00004279, GC_00005964, GC_00007137, GC_00007639, GC_00008711, GC_00008841, GC_00009414, GC_00010183, GC_00011591, GC_00011620, GC_00012133, GC_00012169, GC_00012764, GC_00013080, GC_00013450, GC_00013502, GC_00013991, GC_00015382, GC_00016459, GC_00018382, GC_00018585, GC_00019561, GC_00020643, GC_00021351, GC_00022501, GC_00022550, GC_00022733, GC_00024578, GC_00024786, GC_00025073, GC_00025758, GC_00026231, GC_00027266, GC_00027682, GC_00028360, GC_00029156, GC_00029876, GC_00030566, GC_00030788, GC_00031066, GC_00031459, GC_00031502, GC_00031668, GC_00031713, GC_00031808, GC_00032075, GC_00032451, GC_00033369, GC_00033893, GC_00035454, GC_00035567, GC_00035754, GC_00036094, GC_00036782, GC_00037198, GC_00038244, GC_00040540, GC_00040647, GC_00041507	0.5	0.8571	50	21
2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases	7.857426184711802	0.005061238940329193	0.05594573796406893	Environment	COG0654	GC_00001418, GC_00001695, GC_00001829, GC_00002657, GC_00003454, GC_00004496, GC_00005625, GC_00006764, GC_00008586, GC_00010229, GC_00011607, GC_00017743, GC_00018220, GC_00019006, GC_00019697, GC_00020480, GC_00024565, GC_00027017, GC_00030196, GC_00032304, GC_00032698, GC_00034238, GC_00034472, GC_00034750, GC_00036137, GC_00037191, GC_00037274, GC_00037852	0.56	0.9048	50	21
Myo-inositol-1-phosphate synthase	7.857426184711802	0.005061238940329193	0.05594573796406893	Environment	COG1260	GC_00001087	0.56	0.9048	50	21
Sulfate permease or related transporter, MFS superfamily	7.857426184711802	0.005061238940329193	0.05594573796406893	Environment	COG0659	GC_00000998, GC_00002002, GC_00003119, GC_00003904, GC_00007565, GC_00013334, GC_00017834, GC_00028088, GC_00030271	0.56	0.9048	50	21
Heme-degrading monooxygenase HmoA and related ABM domain proteins	7.857426184711802	0.005061238940329193	0.05594573796406893	Environment	COG2329	GC_00001135, GC_00012117, GC_00027744	0.56	0.9048	50	21
Glutamate synthase domain 1	7.74915279453243	0.0053737744707065835	0.05908278241589698	Environment	COG0067	GC_00001275	0.4	0.7619	50	21
